e_absmagnitude,flux,z,instrument,band,e_zp,name,absmagnitude,upperlimit,time,e_magnitude,e_flux,zp,magnitude,mu
22.253110446049604,-1.9802436674474156e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.50060607487702,False,58097.452775,22.253110446049604,2.7963303404355267e-29,-48.6,23.158203417127957,37.65880949200498
44.6769555072008,9.858977147037554e-30,0.07944,-kepler,kepler-clean,0,Kepler,-13.743389141822483,False,58097.473208,44.6769555072008,2.7963303404355267e-29,-48.6,23.915420350182494,37.65880949200498
90.13171685533875,4.883002931596367e-30,0.07944,-kepler,kepler-clean,0,Kepler,-12.980526954556233,False,58097.493642,90.13171685533875,2.7963303404355267e-29,-48.6,24.678282537448744,37.65880949200498
32.24796281724744,-1.363868749091334e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.095740937806049,False,58097.514076,32.24796281724744,2.7963303404355267e-29,-48.6,23.563068554198928,37.65880949200498
21.860704313484586,2.0122040009936013e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.517989512505743,False,58097.534509,21.860704313484586,2.7963303404355267e-29,-48.6,23.140819979499234,37.65880949200498
10.673172498226805,4.1196249793557103e-29,0.07944,-kepler,kepler-clean,0,Kepler,-15.295953699072392,False,58097.554943,10.673172498226805,2.7963303404355267e-29,-48.6,22.362855792932585,37.65880949200498
33.462483476246355,-1.312867374384404e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.054361631900782,False,58097.575376,33.462483476246355,2.7963303404355267e-29,-48.6,23.604447860104194,37.65880949200498
17.986106947312457,-2.43952250523134e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.727071564371549,False,58097.616244,17.986106947312457,2.7963303404355267e-29,-48.6,22.931737927633428,37.65880949200498
20.220452875920664,2.1695483545690074e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.599732827163756,False,58097.636677,20.220452875920664,2.7963303404355267e-29,-48.6,23.05907666484122,37.65880949200498
19.82191502036322,-2.2114000129872406e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.620477761522743,False,58097.657111,19.82191502036322,2.7963303404355267e-29,-48.6,23.038331730482234,37.65880949200498
19.345150284860015,-2.2652709741535913e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.646609892579868,False,58097.677544,19.345150284860015,2.7963303404355267e-29,-48.6,23.01219959942511,37.65880949200498
18.21025837394538,-2.4054122558929528e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.71178329057377,False,58097.697978,18.21025837394538,2.7963303404355267e-29,-48.6,22.947026201431207,37.65880949200498
30.195779910316066,1.450613945290365e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.162689112454665,False,58097.718412,30.195779910316066,2.7963303404355267e-29,-48.6,23.496120379550312,37.65880949200498
10.388399276965144,-4.210587606185641e-29,0.07944,-kepler,kepler-clean,0,Kepler,-15.319666261473252,False,58097.759279,10.388399276965144,2.7963303404355267e-29,-48.6,22.339143230531725,37.65880949200498
22.343531599425,-1.9569068077355055e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.487734852202713,False,58097.779712,22.343531599425,2.7963303404355267e-29,-48.6,23.171074639802264,37.65880949200498
19.05568241543604,2.294937725309616e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.66073675490022,False,58097.800146,19.05568241543604,2.7963303404355267e-29,-48.6,22.998072737104756,37.65880949200498
5.996208395986825,7.279074450808108e-29,0.07944,-kepler,kepler-clean,0,Kepler,-15.91399989548649,False,58097.82058,5.996208395986825,2.7963303404355267e-29,-48.6,21.744809596518486,37.65880949200498
17.25641371663162,-2.526034410418668e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.76490764788695,False,58097.861447,17.25641371663162,2.7963303404355267e-29,-48.6,22.893901844118027,37.65880949200498
6.781417166220313,6.43545134643105e-29,0.07944,-kepler,kepler-clean,0,Kepler,-15.780257020218848,False,58097.88188,6.781417166220313,2.7963303404355267e-29,-48.6,21.87855247178613,37.65880949200498
8.645037288079735,5.0461565524086306e-29,0.07944,-kepler,kepler-clean,0,Kepler,-15.516211291957738,False,58097.902314,8.645037288079735,2.7963303404355267e-29,-48.6,22.14259820004724,37.65880949200498
1.7269342743785938,-2.5208163432713957e-28,0.07944,-kepler,kepler,0,Kepler,-17.262662506623236,False,58097.943181,1.7269342743785938,7.562429125168222e-29,-48.6,20.39614698538174,37.65880949200498
7.485465494112987,5.820823970378961e-29,0.07944,-kepler,kepler-clean,0,Kepler,-15.671270656576475,False,58097.963615,7.485465494112987,2.7963303404355267e-29,-48.6,21.987538835428502,37.65880949200498
46.586713502108836,9.334048292275085e-30,0.07944,-kepler,kepler-clean,0,Kepler,-13.683984600748282,False,58097.984048,46.586713502108836,2.7963303404355267e-29,-48.6,23.974824891256695,37.65880949200498
32.64779435083959,1.3308992713977462e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.069172460271808,False,58098.004482,32.64779435083959,2.7963303404355267e-29,-48.6,23.58963703173317,37.65880949200498
128.1989333075481,3.389012107637534e-30,0.07944,-kepler,kepler-clean,0,Kepler,-12.58399229302345,False,58098.024916,128.1989333075481,2.7963303404355267e-29,-48.6,25.074817198981528,37.65880949200498
18.573899885076454,2.3384796734212306e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.681143490199823,False,58098.045349,18.573899885076454,2.7963303404355267e-29,-48.6,22.977666001805154,37.65880949200498
14.210086030955193,3.0555613989190385e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.971537029313488,False,58098.065783,14.210086030955193,2.7963303404355267e-29,-48.6,22.68727246269149,37.65880949200498
32.75379035832193,-1.324810964567828e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.064194276551284,False,58098.086216,32.75379035832193,2.7963303404355267e-29,-48.6,23.594615215453693,37.65880949200498
26.252084250668428,1.652679276208014e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.304280945220391,False,58098.10665,26.252084250668428,2.7963303404355267e-29,-48.6,23.354528546784586,37.65880949200498
24.878409781876993,-1.743199399215056e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.362177160906988,False,58098.127084,24.878409781876993,2.7963303404355267e-29,-48.6,23.29663233109799,37.65880949200498
15.96744297483133,-2.7150836010766495e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.843267508610218,False,58098.147517,15.96744297483133,2.7963303404355267e-29,-48.6,22.81554198339476,37.65880949200498
6.776417317094038,6.400528056513632e-29,0.07944,-kepler,kepler-clean,0,Kepler,-15.774349006093438,False,58098.167951,6.776417317094038,2.7963303404355267e-29,-48.6,21.88446048591154,37.65880949200498
6.722407575797445,6.449171907830615e-29,0.07944,-kepler,kepler-clean,0,Kepler,-15.782569375900188,False,58098.188384,6.722407575797445,2.7963303404355267e-29,-48.6,21.87624011610479,37.65880949200498
56.437121116534954,7.677781096618217e-30,0.07944,-kepler,kepler-clean,0,Kepler,-13.471898806168646,False,58098.208818,56.437121116534954,2.7963303404355267e-29,-48.6,24.18691068583633,37.65880949200498
8.654538363090767,5.006403978025507e-29,0.07944,-kepler,kepler-clean,0,Kepler,-15.507624219222926,False,58098.229252,8.654538363090767,2.7963303404355267e-29,-48.6,22.15118527278205,37.65880949200498
10.993659538488808,3.938949919386381e-29,0.07944,-kepler,kepler-clean,0,Kepler,-15.247260639843766,False,58098.249685,10.993659538488808,2.7963303404355267e-29,-48.6,22.41154885216121,37.65880949200498
14.94534351624049,2.8964133205711596e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.91346083232596,False,58098.270119,14.94534351624049,2.7963303404355267e-29,-48.6,22.745348659679017,37.65880949200498
23.98587080546014,-1.803077603935365e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.398845539586937,False,58098.290553,23.98587080546014,2.7963303404355267e-29,-48.6,23.25996395241804,37.65880949200498
15.748381508928246,-2.7454981141341337e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.85536236633316,False,58098.310986,15.748381508928246,2.7963303404355267e-29,-48.6,22.803447125671816,37.65880949200498
16.316773653411968,2.6494745170399923e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.816708858941531,False,58098.372287,16.316773653411968,2.7963303404355267e-29,-48.6,22.842100633063446,37.65880949200498
20.815346262493037,2.0750218864911037e-29,0.07944,-kepler,kepler-clean,0,Kepler,-14.55136619659175,False,58098.392721,20.815346262493037,2.7963303404355267e-29,-48.6,23.107443295413226,37.65880949200498
